2	7466318	4609365	995.29
3	7466319	4609365	995.19
4	7466320	4609364	995
5	7466320	4609365	995.1
6	7466321	4609363	994.49
7	7466321	4609364	994.81
8	7466321	4609365	995.03
9	7466322	4609362	994.26
10	7466322	4609363	994.21
11	7466322	4609364	994.77
12	7466322	4609365	995.02
13	7466323	4609361	993.79
14	7466323	4609362	993.92
15	7466323	4609363	993.89
16	7466323	4609364	994.32
17	7466323	4609365	994.96
18	7466324	4609360	993.09
19	7466324	4609361	993.47
20	7466324	4609362	993.53
21	7466324	4609363	993.46
22	7466324	4609364	993.95
23	7466324	4609365	994.61
24	7466325	4609359	992.11
25	7466325	4609360	992.5
26	7466325	4609361	992.88
27	7466325	4609362	993.17
28	7466325	4609363	993.12
29	7466325	4609364	993.61
30	7466325	4609365	994.17
31	7466326	4609359	991.72
32	7466326	4609360	991.87
33	7466326	4609361	992.21
34	7466326	4609362	992.6
35	7466326	4609363	992.83
36	7466326	4609364	993.22
37	7466326	4609365	993.73
38	7466327	4609358	991.8
39	7466327	4609359	991.77
40	7466327	4609360	991.84
41	7466327	4609361	991.98
42	7466327	4609362	992.35
43	7466327	4609363	992.54
44	7466327	4609364	992.93
45	7466327	4609365	993.29
46	7466328	4609357	989.24
47	7466328	4609358	991.11
48	7466328	4609359	991.77
49	7466328	4609360	991.76
50	7466328	4609361	991.89
51	7466328	4609362	992.1
52	7466328	4609363	992.24
53	7466328	4609364	992.66
54	7466328	4609365	993.25
55	7466329	4609356	989.16
56	7466329	4609357	989.17
57	7466329	4609358	989.46
58	7466329	4609359	991.69
59	7466329	4609360	991.64
60	7466329	4609361	991.73
61	7466329	4609362	991.64
62	7466329	4609363	991.92
63	7466329	4609364	992.31
64	7466329	4609365	992.88
65	7466330	4609355	989.17
66	7466330	4609356	989.1
67	7466330	4609357	989.06
68	7466330	4609358	989.05
69	7466330	4609359	989.03
70	7466330	4609360	990.86
71	7466330	4609361	991.6
72	7466330	4609362	991.63
73	7466330	4609363	991.79
74	7466330	4609364	991.96
75	7466330	4609365	992.52
76	7466331	4609354	989.02
77	7466331	4609355	989.13
78	7466331	4609356	989.08
79	7466331	4609357	989.02
80	7466331	4609358	989
81	7466331	4609359	988.97
82	7466331	4609360	988.95
83	7466331	4609361	991.61
84	7466331	4609362	991.6
85	7466331	4609363	991.61
86	7466331	4609364	991.64
87	7466331	4609365	992.15
88	7466332	4609353	988.17
89	7466332	4609354	988.08
90	7466332	4609355	989.09
91	7466332	4609356	989.03
92	7466332	4609357	988.95
93	7466332	4609358	988.93
94	7466332	4609359	988.9
95	7466332	4609360	988.81
96	7466332	4609361	990.15
97	7466332	4609362	991.62
98	7466332	4609363	991.6
99	7466332	4609364	991.62
100	7466332	4609365	991.79
101	7466333	4609353	987.99
102	7466333	4609354	988.03
103	7466333	4609355	988.22
104	7466333	4609356	988.97
105	7466333	4609357	988.94
106	7466333	4609358	988.87
107	7466333	4609359	988.79
108	7466333	4609360	988.77
109	7466333	4609361	988.82
110	7466333	4609362	991.6
111	7466333	4609363	991.62
112	7466333	4609364	991.62
113	7466333	4609365	991.63
114	7466334	4609352	987.92
115	7466334	4609353	987.96
116	7466334	4609354	988.03
117	7466334	4609355	988.09
118	7466334	4609356	988.71
119	7466334	4609357	988.83
120	7466334	4609358	988.72
121	7466334	4609359	988.72
122	7466334	4609360	988.68
123	7466334	4609361	988.73
124	7466334	4609362	989.08
125	7466334	4609363	991.59
126	7466334	4609364	991.61
127	7466334	4609365	991.63
128	7466335	4609351	987.89
129	7466335	4609352	987.9
130	7466335	4609353	987.94
131	7466335	4609354	988.04
132	7466335	4609355	988.11
133	7466335	4609356	988.19
134	7466335	4609357	988.53
135	7466335	4609358	988.57
136	7466335	4609359	988.61
137	7466335	4609360	988.62
138	7466335	4609361	988.56
139	7466335	4609362	988.56
140	7466335	4609363	988.84
141	7466335	4609364	991.59
142	7466335	4609365	991.61
143	7466336	4609350	987.85
144	7466336	4609351	987.87
145	7466336	4609352	987.91
146	7466336	4609353	987.96
147	7466336	4609354	988.02
148	7466336	4609355	988.1
149	7466336	4609356	988.17
150	7466336	4609357	988.32
151	7466336	4609358	988.46
152	7466336	4609359	988.5
153	7466336	4609360	988.54
154	7466336	4609361	988.51
155	7466336	4609362	988.46
156	7466336	4609363	988.38
157	7466336	4609364	990
158	7466336	4609365	991.6
159	7466337	4609349	987.78
160	7466337	4609350	987.85
161	7466337	4609351	987.88
162	7466337	4609352	987.9
163	7466337	4609353	987.94
164	7466337	4609354	988.02
165	7466337	4609355	988.07
166	7466337	4609356	988.15
167	7466337	4609357	988.24
168	7466337	4609358	988.35
169	7466337	4609359	988.46
170	7466337	4609360	988.47
171	7466337	4609361	988.44
172	7466337	4609362	988.42
173	7466337	4609363	988.36
174	7466337	4609364	988.37
175	7466337	4609365	990.82
176	7466338	4609348	987.77
177	7466338	4609349	987.8
178	7466338	4609350	987.9
179	7466338	4609351	987.94
180	7466338	4609352	987.83
181	7466338	4609353	988.01
182	7466338	4609354	988.15
183	7466338	4609355	988.1
184	7466338	4609356	988.06
185	7466338	4609357	988.18
186	7466338	4609358	988.31
187	7466338	4609359	988.38
188	7466338	4609360	988.42
189	7466338	4609361	988.39
190	7466338	4609362	988.34
